farmID,annualMY,herdSize,annualMYFPCM,AAFC,CI,culling,avLactOnLeaving,costAAFC,costCI,costCull,totalCost,totalLifeDays,FPcorrfactor,milkLifeDays,OEEEffic,lifetimeYieldKgDay,productiveLifetimeYieldKgDay,Cull_L1,Cull_L2,Cull_L3,Cull_L4,Cull_L5,Cull_L6,Cull_L6over,CH4MJdLife,propCH4Milk,propCH4ForLactatingPeriods,eCO2 TyearGWP100,Repeat01,Repeat02,Repeat03,Repeat04,Repeat05,CH4_kgFPCM,CH4ForHeifer,CH4Maint,CH4Milk,CH4Preg+Dry,eCO2GWP100Heifer,eCO2GWP100Maint,eCO2GWP100Milk,eCO2GWP100Preg,eCO2GWP100Total,eCO2GWP*HeiferRearing,eCO2GWP*Maint,eCO2GWP*Milk,eCO2GWP*PregDry,eCO2GWP*Total,BFAnnualAvg,milkProteinAnnualAvg,milkButterFatKgYear,milkProteinKgYear
34,5795,186,5941,754,367,28.7,3.63,0.5,0.05,0.56,1.12,2067.5,1.03,1139.1,0.55,10.8,19.6,0.2,0.21,0.08,0.24,0.42,0.67,0.5,19.04,0.442,0.763,2.1258,0.5524,0.1307,0.1612,0.2221,0.0383,1.2293,4.5052,5.5577,7.6569,1.3219,0.1307,0.1612,0.2221,0.0383,0.5524,0.4496,0.5546,0.7641,0.1319,1.9001,4.005,3.6082,232.11,209.11
35,9270,944,10348,747,379,31.8,3.05,1.69,0.37,0.66,2.72,1887.4,1.12,947.7,0.5,19.1,38,0.16,0.2,0.27,0.39,0.6,0.53,1,24.87,0.566,0.796,2.5701,0.4119,0.0877,0.0856,0.2098,0.0288,0.9167,5.2941,5.1711,12.6705,1.7384,0.0877,0.0856,0.2098,0.0288,0.4119,0.3016,0.2946,0.7218,0.099,1.4169,4.7247,3.6453,437.98,337.92
36,7299,178,7534,762,436,41.9,2.56,0.9,1.69,2.15,4.74,1780,1.03,858.7,0.48,11.8,24.5,0.33,0.32,0.25,0.23,0.33,0.29,0.25,19.77,0.474,0.748,2.1952,0.5243,0.1408,0.1271,0.219,0.0374,1.1669,5.3091,4.7911,8.2594,1.4112,0.1408,0.1271,0.219,0.0374,0.5243,0.4844,0.4371,0.7535,0.1288,1.8038,4.1555,3.4604,303.33,252.58
37,11330,194,11657,760,374,16.9,3.76,0.28,0.27,-0.66,-0.11,2143.6,1.03,1184.3,0.55,20.7,37.5,0.11,0.06,0.13,0.23,0.16,0.18,0.12,27.64,0.608,0.836,2.7808,0.3775,0.0663,0.0788,0.2101,0.0222,0.8401,4.8534,5.7727,15.3828,1.6275,0.0663,0.0788,0.2101,0.0222,0.3775,0.228,0.2712,0.7228,0.0765,1.2985,4.1535,3.4212,470.61,387.63
38,5057,89,5400,937,465,37.2,3.71,1.45,2.36,1.85,5.65,2363.5,1.07,1218.1,0.52,11.2,21.7,0.17,0.19,0.24,0.35,0.29,#N/A,0.27,18.62,0.453,0.756,2.0974,0.5468,0.1369,0.1484,0.2213,0.0403,1.2168,4.661,5.0522,7.5342,1.3711,0.1369,0.1484,0.2213,0.0403,0.5468,0.4708,0.5104,0.7611,0.1385,1.8808,4.3515,3.6128,220.04,182.69
39,7013,93,7416,895,416,36.9,3.74,2.66,0.97,1.52,5.14,2360.1,1.06,1262.7,0.54,13.4,25,0.26,0.18,0.4,0.22,0.5,0.33,0.32,20.68,0.499,0.786,2.2529,0.4868,0.1094,0.126,0.2189,0.0325,1.0834,4.6494,5.3522,9.3022,1.3798,0.1094,0.126,0.2189,0.0325,0.4868,0.3764,0.4334,0.7532,0.1117,1.6747,4.4301,3.3526,310.68,235.12
40,7647,110,7854,907,378,18.1,3.94,1.16,0.37,-0.87,0.65,2376.1,1.03,1220,0.51,12.6,24.6,0.23,0.05,0.13,0,0.18,0.13,0.25,20.4,0.491,0.771,2.2345,0.498,0.1133,0.1253,0.2184,0.041,1.1082,4.641,5.131,8.948,1.6796,0.1133,0.1253,0.2184,0.041,0.498,0.3897,0.4309,0.7514,0.141,1.713,4.2859,3.1903,327.74,243.96
41,10911,126,11128,770,387,27.1,4.16,0.63,0.52,0.17,1.31,2325.1,1.02,1325.1,0.57,21.3,37.4,0.05,0.16,0.14,0.4,0.67,0.55,0.86,28.4,0.615,0.843,2.8322,0.3703,0.0595,0.0778,0.2102,0.0228,0.8242,4.5623,5.9681,16.1217,1.7472,0.0595,0.0778,0.2102,0.0228,0.3703,0.2047,0.2677,0.7232,0.0784,1.274,4.2161,3.2067,460.03,349.89
42,8352,433,8579,928,377,30.9,3.9,3.92,0.32,0.65,4.89,2368.1,1.03,1210.4,0.51,14.4,28.1,0.17,0.15,0.25,0.29,0.37,0.42,0.71,21.82,0.525,0.788,2.3409,0.4573,0.1016,0.1075,0.215,0.0333,1.0178,4.8475,5.1321,10.2575,1.5867,0.1016,0.1075,0.215,0.0333,0.4573,0.3494,0.37,0.7394,0.1144,1.5732,4.2241,3.289,352.78,274.68
43,11830,218,11645,909,399,29.4,2.59,3.39,0.89,0.33,4.61,1919.4,0.98,865,0.45,16.8,37.4,0.15,0.3,0.39,0.31,0.56,0,#N/A,24.59,0.585,0.797,2.5567,0.4088,0.1008,0.0761,0.2105,0.0215,0.9099,6.0607,4.5747,12.659,1.2906,0.1008,0.0761,0.2105,0.0215,0.4088,0.3467,0.2617,0.7242,0.0738,1.4064,3.9292,3.2033,464.82,378.94
