farmID,annualMY,herdSize,annualMYFPCM,AAFC,CI,culling,avLactOnLeaving,costAAFC,costCI,costCull,totalCost,totalLifeDays,FPcorrfactor,milkLifeDays,OEEEffic,lifetimeYieldKgDay,productiveLifetimeYieldKgDay,Cull_L1,Cull_L2,Cull_L3,Cull_L4,Cull_L5,Cull_L6,Cull_L6over,CH4MJdLife,propCH4Milk,propCH4ForLactatingPeriods,eCO2 TyearGWP100,Repeat01,Repeat02,Repeat03,Repeat04,Repeat05,CH4_kgFPCM,CH4ForHeifer,CH4Maint,CH4Milk,CH4Preg+Dry,eCO2GWP100Heifer,eCO2GWP100Maint,eCO2GWP100Milk,eCO2GWP100Preg,eCO2GWP100Total,eCO2GWP*HeiferRearing,eCO2GWP*Maint,eCO2GWP*Milk,eCO2GWP*PregDry,eCO2GWP*Total,BFAnnualAvg,milkProteinAnnualAvg,milkButterFatKgYear,milkProteinKgYear
126,10397,528,10949,794,388,24.8,4.39,1.89,0.55,-0.02,2.43,2419.8,1.05,1397.8,0.58,21.8,37.7,0.09,0.06,0.2,0.23,0.41,0.39,0.36,28.01,0.613,0.846,2.8038,0.3712,0.0593,0.08,0.2099,0.0221,0.8262,4.4728,6.0342,15.8419,1.664,0.0593,0.08,0.2099,0.0221,0.3712,0.2039,0.2751,0.7222,0.0759,1.2771,4.2441,3.5906,441.26,373.31
127,11244,173,11658,797,389,19.5,4.06,0.63,0.54,-0.42,0.75,2331.3,1.04,1324.3,0.57,22.9,40.3,0.02,0.07,0.19,0.34,0.3,0.4,0.29,29.35,0.629,0.849,2.9006,0.3596,0.0578,0.0733,0.2088,0.0197,0.8004,4.7177,5.9779,17.0428,1.6107,0.0578,0.0733,0.2088,0.0197,0.3596,0.1989,0.252,0.7184,0.0679,1.2372,4.1843,3.4761,470.48,390.86
128,10123,179,10124,777,384,29,3.63,0.7,0.6,0.36,1.66,2172.7,1,1212,0.56,17.9,32,0.24,0.15,0.2,0.35,0.18,0.67,0.8,25.53,0.580,0.827,2.6199,0.4014,0.0751,0.0907,0.2127,0.0229,0.8932,4.7751,5.7709,13.5295,1.4548,0.0751,0.0907,0.2127,0.0229,0.4014,0.2582,0.3121,0.7317,0.0787,1.3807,4.044,3.2243,409.36,326.39
129,8412,88,8542,944,428,23.8,3.33,1.14,1.15,-0.13,2.16,2321.5,1.02,1204.1,0.52,13.8,26.6,0.04,0.2,0.22,0.33,0.22,0.67,#N/A,21.48,0.522,0.792,2.3113,0.4658,0.1084,0.1129,0.218,0.0265,1.0366,4.9977,5.2087,10.0509,1.2229,0.1084,0.1129,0.218,0.0265,0.4658,0.3728,0.3885,0.7498,0.0912,1.6023,4.1749,3.2165,351.18,270.56
130,11147,132,11927,853,400,39.6,2.81,1.62,1.01,1.18,3.81,1928.7,1.07,908.4,0.47,19.3,41,0.18,0.29,0.38,0.73,0.55,0.67,0,25.58,0.593,0.806,2.6327,0.3987,0.0902,0.0753,0.2101,0.0232,0.8874,5.7871,4.8286,13.4725,1.4872,0.0902,0.0753,0.2101,0.0232,0.3987,0.3104,0.259,0.7226,0.0798,1.3717,4.5589,3.3106,508.2,369.05
131,9539,128,9868,949,385,24.9,4.24,1.62,0.51,-0.01,2.13,2556.4,1.03,1378.6,0.54,17.8,33.1,0.1,0.18,0.21,0.24,0.34,0.53,0.29,24.74,0.576,0.821,2.5546,0.4056,0.0779,0.0904,0.2123,0.025,0.9026,4.7507,5.5132,12.9476,1.5257,0.0779,0.0904,0.2123,0.025,0.4056,0.2679,0.3109,0.7302,0.086,1.3951,4.2756,3.3016,407.86,314.95
132,9256,211,9023,879,434,39.2,4.18,2.92,1.41,1.27,5.6,2495.9,0.97,1339.4,0.54,16.9,31.4,0.17,0.21,0.21,0.37,0.64,0.53,0.63,24.97,0.575,0.816,2.5782,0.4075,0.0745,0.0891,0.2129,0.031,0.9069,4.5678,5.4592,13.0453,1.8974,0.0745,0.0891,0.2129,0.031,0.4075,0.2564,0.3065,0.7323,0.1065,1.4018,3.8431,3.2159,355.74,297.68
133,8729,91,9116,1000,430,28,2.78,1.24,1.82,0.3,3.36,2140.2,1.04,946.6,0.44,14.4,32.6,0.32,0.3,0.18,0.15,0.29,0.18,0.4,21.4,0.534,0.768,2.3191,0.4596,0.1213,0.0935,0.2132,0.0316,1.0228,5.6489,4.3537,9.9271,1.4713,0.1213,0.0935,0.2132,0.0316,0.4596,0.4173,0.3216,0.7333,0.1087,1.5809,4.3393,3.327,378.79,290.42
134,11384,138,12160,730,377,39.6,3.79,0.01,0.24,1.16,1.41,2148.2,1.07,1206.7,0.56,23.3,41.5,0.16,0.13,0.19,0.5,0.5,0.4,0.77,29.2,0.626,0.846,2.9015,0.3635,0.0591,0.0735,0.2091,0.0218,0.809,4.7505,5.9075,16.7989,1.748,0.0591,0.0735,0.2091,0.0218,0.3635,0.2034,0.253,0.7193,0.0748,1.2505,4.5328,3.3287,516.03,378.95
135,10500,453,10915,710,388,31.6,2.94,-0.78,0.48,0.55,0.26,1841.5,1.04,948,0.51,19.4,37.7,0.16,0.22,0.32,0.39,0.56,0.86,0.29,26.33,0.590,0.814,2.6905,0.394,0.0788,0.0797,0.2097,0.0258,0.8769,5.2671,5.3237,14.0144,1.7228,0.0788,0.0797,0.2097,0.0258,0.394,0.2712,0.2741,0.7215,0.0887,1.3554,4.251,3.4048,446.37,357.52
136,11443,236,11422,744,378,32.5,3.3,0.27,0.33,0.57,1.18,1985.2,1,1088.9,0.55,20.1,36.6,0.11,0.27,0.35,0.34,0.49,0.4,0.36,27.65,0.608,0.834,2.7762,0.3777,0.0705,0.0785,0.2103,0.0184,0.8405,5.1625,5.7459,15.3913,1.3458,0.0705,0.0785,0.2103,0.0184,0.3777,0.2426,0.27,0.7233,0.0632,1.2992,4.0193,3.239,459.92,370.63
137,8168,161,8618,811,404,23,3.74,0.91,1.05,-0.21,1.75,2292.9,1.06,1244.1,0.54,16.6,30.5,0.13,0.13,0.23,0.24,0.21,0.4,0.32,23.44,0.549,0.808,2.4678,0.4304,0.0838,0.1011,0.2136,0.0319,0.9578,4.5651,5.5052,11.6341,1.7352,0.0838,0.1011,0.2136,0.0319,0.4304,0.2883,0.3477,0.7348,0.1096,1.4805,4.3289,3.4833,353.58,284.52
138,10293,90,10415,782,411,70,2.74,0.43,0.99,3.94,5.36,1822.9,1.01,905,0.5,16.4,33.1,0.71,0.18,0.13,0.46,0.27,0.5,0.44,24.07,0.563,0.799,2.5148,0.4238,0.099,0.0895,0.2132,0.0222,0.9432,5.622,5.0817,12.1101,1.2604,0.099,0.0895,0.2132,0.0222,0.4238,0.3404,0.3077,0.7334,0.0763,1.4579,4.1298,3.2411,425.07,333.6
139,9155,159,9614,778,379,29,3.37,0.52,0.47,0.4,1.4,2027.6,1.05,1050.7,0.52,16.8,32.4,0.24,0.13,0.26,0.2,0.33,0.34,0,23.78,0.552,0.799,2.4913,0.4266,0.0901,0.0951,0.2119,0.0295,0.9494,5.0229,5.3021,11.8153,1.6446,0.0901,0.0951,0.2119,0.0295,0.4266,0.3099,0.3271,0.729,0.1015,1.4675,4.2196,3.5919,386.29,328.83
140,8361,255,9087,816,391,14,2.57,1.72,0.58,-1.12,1.17,1762,1.09,785.9,0.45,15.3,34.2,0.09,0.13,0.17,0.13,0.19,0,#N/A,21.85,0.528,0.761,2.3535,0.4588,0.1225,0.0937,0.2113,0.0312,1.021,5.8369,4.4616,10.0659,1.4864,0.1225,0.0937,0.2113,0.0312,0.4588,0.4216,0.3222,0.727,0.1074,1.5781,4.6747,3.345,390.86,279.68
141,6345,134,6515,844,417,32.7,3.62,1.57,1.61,1.03,4.21,2264.6,1.03,1164,0.51,12.2,23.7,0.17,0.3,0.29,0.33,0.36,0.5,0.29,20.01,0.481,0.765,2.2117,0.5091,0.1158,0.1293,0.2184,0.0457,1.1331,4.5503,5.0821,8.5821,1.7957,0.1158,0.1293,0.2184,0.0457,0.5091,0.3983,0.4448,0.7512,0.1572,1.7514,4.1409,3.4159,262.73,216.73
142,13419,433,13193,761,407,27.7,3.42,0.29,0.58,0.17,1.04,2071.1,0.98,1053.8,0.51,23.9,47.1,0.17,0.2,0.21,0.29,0.29,0.35,0.27,31.53,0.657,0.844,3.0889,0.347,0.0568,0.0589,0.2066,0.0246,0.7723,5.1621,5.3552,18.7712,2.238,0.0568,0.0589,0.2066,0.0246,0.347,0.1955,0.2028,0.7108,0.0847,1.1938,3.7925,3.4043,508.9,456.81
143,6199,163,6585,1052,401,10.4,6.47,5.72,0.96,-2.05,4.63,3364.2,1.06,1981.5,0.59,13.5,23,0,0,0,0,0.15,0.43,0.37,20.68,0.497,0.808,2.2462,0.4828,0.0874,0.138,0.2204,0.037,1.0744,3.7422,5.9124,9.4392,1.5854,0.0874,0.138,0.2204,0.037,0.4828,0.3005,0.4748,0.7581,0.1273,1.6608,4.446,3.3902,275.62,210.16
144,8169,186,8230,871,386,25.5,3.04,2.51,0.48,0.06,3.05,2021.4,1.01,977.3,0.48,13.2,27.2,0.18,0.13,0.28,0.5,0.2,0.67,0,21.09,0.506,0.764,2.2796,0.4776,0.1211,0.11,0.215,0.0315,1.0628,5.35,4.8588,9.4962,1.3897,0.1211,0.11,0.215,0.0315,0.4776,0.4166,0.3784,0.7395,0.1082,1.6428,4.0137,3.3669,327.89,275.05
145,10381,187,10934,833,398,31.3,3.56,0.98,0.75,0.55,2.27,2243.1,1.05,1237.8,0.55,19.6,35.6,0.1,0.21,0.24,0.31,0.5,0.67,0.67,26.12,0.594,0.833,2.6635,0.391,0.0738,0.0855,0.2119,0.0199,0.8702,4.9274,5.7137,14.1553,1.3284,0.0738,0.0855,0.2119,0.0199,0.391,0.2537,0.2942,0.7288,0.0684,1.3451,4.2696,3.5533,443.22,368.86
146,8951,179,9088,792,387,29.5,4.37,0.47,0.38,0.45,1.3,2405.3,1.02,1318.7,0.55,17.3,31.5,0.07,0.1,0.22,0.46,0.38,0.27,0.35,24.75,0.566,0.814,2.565,0.413,0.0724,0.0935,0.2124,0.0347,0.9191,4.3381,5.6015,12.7276,2.0784,0.0724,0.0935,0.2124,0.0347,0.413,0.2491,0.3216,0.7307,0.1193,1.4207,4.2071,3.1636,376.55,283.15
147,9040,225,9746,715,425,19.1,3.4,-0.25,1.07,-0.52,0.31,2037.9,1.08,1175.6,0.58,21,36.5,0.12,0.09,0.14,0.28,0.27,0.4,0.67,27.04,0.598,0.839,2.7294,0.3826,0.0686,0.0852,0.211,0.0179,0.8514,4.8452,6.0192,14.9089,1.2643,0.0686,0.0852,0.211,0.0179,0.3826,0.2359,0.293,0.7257,0.0615,1.3161,4.4717,3.5531,404.24,321.19
148,11231,199,11247,819,398,29,3.75,1.21,0.63,0.31,2.15,2241.3,1,1223.5,0.55,20.2,36.9,0.13,0.22,0.21,0.29,0.32,0.36,0.8,27.55,0.612,0.838,2.7743,0.3769,0.0673,0.0776,0.2106,0.0213,0.8388,4.9228,5.6739,15.3977,1.5569,0.0673,0.0776,0.2106,0.0213,0.3769,0.2317,0.267,0.7246,0.0733,1.2965,4.0295,3.2644,452.57,366.64
149,10577,383,11515,736,381,31.7,3.23,0.17,0.3,0.56,1.03,1949.9,1.09,1037.1,0.53,21.6,40.6,0.19,0.19,0.28,0.3,0.41,0.4,0.36,27.39,0.604,0.826,2.7609,0.3805,0.0721,0.0771,0.2092,0.0221,0.8468,5.1889,5.5513,15.0611,1.5894,0.0721,0.0771,0.2092,0.0221,0.3805,0.248,0.2653,0.7197,0.076,1.3089,4.6137,3.4649,487.99,366.48
